controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J
PPO,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,-10.581798553466797,1.1085816621780396,-1.785400390625,1.632654070854187,2.0586376190185547,0.29008913040161133,9.109332473970671,5.380449022026378,6.782462995144006,7.551736314891071,0.8349711741766855,0.8349711741766855,30.4939231543855,3.049392315438549,3.049392315438549
PPO,1,0.1,0.0,0.0,-0.5,-0.006291506811976433,0.0003881925658788532,-0.00010497866605874151,0.49993476184987873,-9.06511402130127,1.178600549697876,-2.3841261863708496,0.5816155076026917,0.5997781753540039,0.8872100710868835,9.170486764989771,2.7982807825827534,6.698368113423215,4.719389059381394,1.2884331825469264,1.2884331825469264,25.96339108547098,2.596339108547099,5.645731423985649
PPO,1,0.2,0.0,0.0,-0.5,-0.01785329543054104,0.0011471506441012025,0.0003554101276677102,0.5006751367467303,-8.215681076049805,0.8939590454101562,-2.083488702774048,0.6055201888084412,1.121246099472046,1.1705288887023926,8.709879683950534,1.9057225066516843,6.845826932947736,3.1855616443719232,1.052579165052613,1.052579165052613,22.752149098027104,2.2752149098027106,7.9209463337883586
PPO,1,0.30000000000000004,0.0,0.0,-0.5,-0.03386837616562843,0.0016322939191013575,0.0019564314279705286,0.5031003779957214,-6.364372730255127,0.4298412501811981,-2.1272833347320557,0.046706050634384155,0.9993375539779663,1.22641122341156,6.462486663624746,1.0008859102753975,5.637596589489508,1.4864958889223692,1.0859405517474245,1.0859405517474245,16.75934615580687,1.6759346155806871,9.596880949369048
PPO,1,0.4,0.0,0.0,-0.5,-0.052765682339668274,0.0008329524425789714,0.005087663419544697,0.5078370395915973,-4.551135063171387,-0.9803125858306885,-1.9343658685684204,-0.6101639866828918,1.1359853744506836,1.0063652992248535,3.1373540851469266,1.0812215207372684,4.76491791517442,0.2204310197283741,0.9416206522834123,0.9416206522834123,11.087165845353812,1.1087165845353815,10.705597533904427
PPO,1,0.5,0.0,0.0,-0.5,-0.07285501807928085,-0.002220593625679612,0.009500744752585888,0.5146880546494376,-2.5149548053741455,-2.1760783195495605,-1.7195661067962646,-0.9853073358535767,0.8821619749069214,0.7015342712402344,0.635015670247475,1.041703725736417,3.4137417257944165,0.3543807208853724,0.7892168682266066,0.7892168682266066,7.023275579116895,0.7023275579116894,11.407925091816116
PPO,1,0.6000000000000001,0.0,0.0,-0.5,-0.09235288202762604,-0.007631232496351004,0.01480492390692234,0.5230787705566287,-1.4684287309646606,-1.981993556022644,-0.9634397029876709,-0.1875016689300537,1.0292835235595703,0.24907605350017548,0.00790957201950635,0.987529568278445,1.7132123732565905,0.25336736556001854,0.33098236400760006,0.33098236400760006,3.6239836071297606,0.36239836071297604,11.770323452529095
PPO,1,0.7000000000000001,0.0,0.0,-0.5,-0.11035443097352982,-0.014692156575620174,0.020809633657336235,0.5325754729713178,-0.7908480167388916,-2.44876766204834,-1.1831516027450562,-0.061676621437072754,1.030576229095459,0.21324442327022552,0.2471546150125432,0.9249136330393368,1.5270640914860192,0.6764946585268924,0.45043138022620816,0.45043138022620816,4.276489758517208,0.4276489758517209,12.197972428380815
PPO,1,0.8,0.0,0.0,-0.5,-0.12640327215194702,-0.022723596543073654,0.02730247564613819,0.5427172835585004,-0.015095289796590805,-2.690974712371826,-1.4708733558654785,0.012101709842681885,1.0549461841583252,0.17091171443462372,0.7004625102950245,0.714633771830011,1.155758848839161,1.1391093703996038,0.6243540969569626,0.6243540969569626,4.958672695277726,0.4958672695277726,12.693839697908585
PPO,1,0.9,0.0,0.0,-0.5,-0.1401793211698532,-0.031131261959671974,0.03389021009206772,0.552863594376583,0.7544801235198975,-2.896460771560669,-1.8829376697540283,0.016244888305664062,1.0803827047348022,0.12674401700496674,1.265815023181466,0.5122962877869847,0.8033760835299206,1.6460668395887244,0.9043196344479816,0.9043196344479816,6.036193502983058,0.6036193502983059,13.297459048206889
